date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:14:36	538/538	---M-Z	200	added ('OK')	text/plain	etag:W/%22634886c7-5fd%22	https://www.edx.org/robots.txt		(from )
06:14:38	584331/584331	---MCZ	200	added ('OK')	text/html	etag:W/%2263488553-8ea8b%22	https://www.edx.org/	C:/10Intership/areospace%20engineer/www.edx.org/index.html	(from )
06:14:38	122543/122543	---M--	200	added ('OK')	image/jpeg	etag:%22ca4cd77e7e3bcac7774d91cb89ab79fe%22	https://images.ctfassets.net/ii9ehdcj88bc/24nI9FEfxhYsu4JtOI8esA/283e8add221ba5a36b9af0b595f5cd61/edx-homepage-preview.jpg?	C:/10Intership/areospace%20engineer/images.ctfassets.net/ii9ehdcj88bc/24nI9FEfxhYsu4JtOI8esA/283e8add221ba5a36b9af0b595f5cd61/edx-homepage-previewd41d.jpg	(from https://www.edx.org/)
06:14:38	53346/53346	---M--	200	added ('OK')	image/png	etag:%22634886fb-d062%22	https://www.edx.org/images/about_us/timeline_background.png	C:/10Intership/areospace%20engineer/www.edx.org/images/about_us/timeline_background.png	(from https://www.edx.org/)
06:14:39	1395/1395	---M--	200	added ('OK')	image/png	etag:%22634886f7-573%22	https://www.edx.org/images/program_landing/affordable-highlight-sm.png	C:/10Intership/areospace%20engineer/www.edx.org/images/program_landing/affordable-highlight-sm.png	(from https://www.edx.org/)
06:14:39	1669/1669	---M--	200	added ('OK')	image/png	etag:%22634886f7-685%22	https://www.edx.org/images/program_landing/affordable-highlight-lg.png	C:/10Intership/areospace%20engineer/www.edx.org/images/program_landing/affordable-highlight-lg.png	(from https://www.edx.org/)
06:14:39	25718/25718	---M--	200	added ('OK')	image/png	etag:%22634886f3-6476%22	https://www.edx.org/images/brand/globe-dark-sm.png	C:/10Intership/areospace%20engineer/www.edx.org/images/brand/globe-dark-sm.png	(from https://www.edx.org/)
06:14:39	69562/69562	---M--	200	added ('OK')	image/png	etag:%22634886f3-10fba%22	https://www.edx.org/images/brand/globe-dark-lg.png	C:/10Intership/areospace%20engineer/www.edx.org/images/brand/globe-dark-lg.png	(from https://www.edx.org/)
06:14:41	36610/36610	---M--	200	added ('OK')	image/png	etag:%22634884ef-8f02%22	https://www.edx.org/images/program/masters-start-with-mm-sm.png	C:/10Intership/areospace%20engineer/www.edx.org/images/program/masters-start-with-mm-sm.png	(from https://www.edx.org/)
06:14:41	138295/138295	---M--	200	added ('OK')	image/png	etag:%22634886f8-21c37%22	https://www.edx.org/images/program/masters-start-with-mm-md.png	C:/10Intership/areospace%20engineer/www.edx.org/images/program/masters-start-with-mm-md.png	(from https://www.edx.org/)
